sector;sub_sector;theme
DDG;AUTOMOTIVE;Automotive
ACCESSORIES;CLASSICS;Fashion
ACCESSORIES;COOKING;EXCLUDE Adot
ACCESSORIES;GLOVE;Fashion
ACCESSORIES;HAT;Fashion
ACCESSORIES;OUTDOOR;Fashion
ACCESSORIES;SLIPPERS;Fashion
ACCESSORIES;SPONGE;EXCLUDE Adot
ACCESSORIES;UNDERWEAR MAN;Fashion
BAGS;ALCOHOL;EXCLUDE Adot
BAGS;CLASSICS;Fashion
BAGS;COOKING;EXCLUDE Adot
BAGS;GLOVE;Fashion
BAGS;HAT;Fashion
BAGS;SLIPPERS;Fashion
BAGS;SPONGE;EXCLUDE Adot
BAGS;UNDERWEAR MAN;Fashion
BEVERAGE;ALCOHOL;FMCG
BEVERAGE;COOKING;EXCLUDE Adot
BEVERAGE;SPONGE;EXCLUDE Adot
BEVERAGE;UNDERWEAR MAN;EXCLUDE Adot
CHILDCARE;ALCOHOL;EXCLUDE Adot
CHILDCARE;CLASSICS;Kids
CHILDCARE;COOKING;EXCLUDE Adot
CHILDCARE;SLIPPERS;Kids
CHILDCARE;SPONGE;EXCLUDE Adot
CHILDCARE;UNDERWEAR MAN;EXCLUDE Adot
CINEMA;CLASSICS;EXCLUDE Adot
CINEMA;COOKING;EXCLUDE Adot
CINEMA;SLIPPERS;EXCLUDE Adot
CINEMA;SPONGE;EXCLUDE Adot
CINEMA;UNDERWEAR MAN;EXCLUDE Adot
COSMETIC;ALCOHOL;EXCLUDE Adot
COSMETIC;CLASSICS;EXCLUDE Adot
COSMETIC;COOKING;EXCLUDE Adot
COSMETIC;SLIPPERS;Fashion
COSMETIC;SPONGE;EXCLUDE Adot
COSMETIC;UNDERWEAR MAN;Fashion
CULTURAL TOURISM;NAUTICAL SPORTS;Entertainment
DDG;NAUTICAL SPORTS;Entertainment
DECO/FURNITURE;ALCOHOL;EXCLUDE Adot
DECO/FURNITURE;CLASSICS;EXCLUDE Adot
DECO/FURNITURE;COOKING;Home
DECO/FURNITURE;DUVET;Home
DECO/FURNITURE;HAT;EXCLUDE Adot
DECO/FURNITURE;SLIPPERS;EXCLUDE Adot
DECO/FURNITURE;SPONGE;Home
DECO/FURNITURE;UNDERWEAR MAN;EXCLUDE Adot
DIY;ALCOHOL;EXCLUDE Adot
DIY;COOKING;EXCLUDE Adot
DIY;SPONGE;EXCLUDE Adot
DIY;UNDERWEAR MAN;EXCLUDE Adot
EDITION;CLASSICS;EXCLUDE Adot
EDITION;COOKING;Entertainment
EDITION;OUTDOOR;Entertainment
EDITION;SLIPPERS;EXCLUDE Adot
EDITION;SPONGE;EXCLUDE Adot
EDITION;UNDERWEAR MAN;EXCLUDE Adot
FMCG;ALCOHOL;FMCG
FMCG;CLASSICS;EXCLUDE Adot
FMCG;COOKING;EXCLUDE Adot
FMCG;SLIPPERS;EXCLUDE Adot
FMCG;SPONGE;EXCLUDE Adot
FMCG;UNDERWEAR MAN;EXCLUDE Adot
FOOD;ALCOHOL;FMCG
FOOD;CLASSICS;EXCLUDE Adot
FOOD;COOKING;EXCLUDE Adot
FOOD;SLIPPERS;EXCLUDE Adot
FOOD;SPONGE;EXCLUDE Adot
FOOD;UNDERWEAR MAN;EXCLUDE Adot
GARDEN;CLASSICS;EXCLUDE Adot
GARDEN;COOKING;EXCLUDE Adot
GARDEN;OUTDOOR;EXCLUDE Adot
GARDEN;SPONGE;EXCLUDE Adot
GLASSES;CLASSICS;Fashion
GLASSES;COOKING;EXCLUDE Adot
GLASSES;OUTDOOR;Fashion
GLASSES;SLIPPERS;Fashion
GLASSES;SPONGE;EXCLUDE Adot
GLASSES;UNDERWEAR MAN;Fashion
HIGH TECH;ALCOHOL;EXCLUDE Adot
HIGH TECH;CLASSICS;EXCLUDE Adot
HIGH TECH;COOKING;EXCLUDE Adot
HIGH TECH;DUVET;EXCLUDE Adot
HIGH TECH;SLIPPERS;EXCLUDE Adot
HIGH TECH;SPONGE;EXCLUDE Adot
HIGH TECH;UNDERWEAR MAN;EXCLUDE Adot
HOBBIES;NAUTICAL SPORTS;Entertainment
HOME LINEN;ALCOHOL;EXCLUDE Adot
HOME LINEN;CLASSICS;EXCLUDE Adot
HOME LINEN;COOKING;EXCLUDE Adot
HOME LINEN;DUVET;Home
HOME LINEN;OUTDOOR;EXCLUDE Adot
HOME LINEN;SLIPPERS;EXCLUDE Adot
HOME LINEN;SPONGE;Home
HOME LINEN;UNDERWEAR MAN;EXCLUDE Adot
JEANSWEAR;HAT;Fashion
JEANSWEAR;OUTDOOR;Fashion
JEANSWEAR;UNDERWEAR MAN;Fashion
JEWELRY;ALCOHOL;EXCLUDE Adot
JEWELRY;CLASSICS;Fashion
JEWELRY;COOKING;EXCLUDE Adot
JEWELRY;GLOVE;Fashion
JEWELRY;HAT;Fashion
JEWELRY;SLIPPERS;Fashion
JEWELRY;SPONGE;EXCLUDE Adot
JEWELRY;UNDERWEAR MAN;Fashion
LUGGAGE;ALCOHOL;EXCLUDE Adot
LUGGAGE;COOKING;EXCLUDE Adot
LUGGAGE;HAT;Fashion
LUGGAGE;SPONGE;EXCLUDE Adot
LUGGAGE;UNDERWEAR MAN;Fashion
MAJOR ELECTRICAL APPLIANCES;ALCOHOL;EXCLUDE Adot
MAJOR ELECTRICAL APPLIANCES;COOKING;EXCLUDE Adot
MAJOR ELECTRICAL APPLIANCES;SPONGE;EXCLUDE Adot
OUTDOOR;ALCOHOL;EXCLUDE Adot
OUTDOOR;CLASSICS;EXCLUDE Adot
OUTDOOR;OUTDOOR;EXCLUDE Adot
OUTDOOR;SPONGE;EXCLUDE Adot
OUTDOOR;UNDERWEAR MAN;EXCLUDE Adot
PARKS;NAUTICAL SPORTS;Entertainment
RTW KIDS;CLASSICS;Kids
RTW KIDS;COOKING;EXCLUDE Adot
RTW KIDS;DUVET;EXCLUDE Adot
RTW KIDS;OUTDOOR;EXCLUDE Adot
RTW KIDS;SLIPPERS;EXCLUDE Adot
RTW KIDS;SPONGE;EXCLUDE Adot
RTW KIDS;UNDERWEAR MAN;EXCLUDE Adot
RTW MEN;ALCOHOL;EXCLUDE Adot
RTW MEN;CLASSICS;Fashion
RTW MEN;COOKING;EXCLUDE Adot
RTW MEN;HAT;Fashion
RTW MEN;OUTDOOR;Fashion
RTW MEN;SLIPPERS;Fashion
RTW MEN;SPONGE;EXCLUDE Adot
RTW MEN;UNDERWEAR MAN;Fashion
RTW WOMEN;ALCOHOL;EXCLUDE Adot
RTW WOMEN;CLASSICS;Fashion
RTW WOMEN;COOKING;EXCLUDE Adot
RTW WOMEN;DUVET;EXCLUDE Adot
RTW WOMEN;HAT;Fashion
RTW WOMEN;OUTDOOR;Fashion
RTW WOMEN;SLIPPERS;Fashion
RTW WOMEN;SPONGE;EXCLUDE Adot
RTW WOMEN;UNDERWEAR MAN;Fashion
SHOES;ALCOHOL;EXCLUDE Adot
SHOES;CLASSICS;Fashion
SHOES;COOKING;EXCLUDE Adot
SHOES;HAT;Fashion
SHOES;OUTDOOR;Fashion
SHOES;SLIPPERS;Fashion
SHOES;SPONGE;EXCLUDE Adot
SHOES;UNDERWEAR MAN;Fashion
SMALL DOMESTIC APPLIANCES;CLASSICS;EXCLUDE Adot
SMALL DOMESTIC APPLIANCES;COOKING;Home
SMALL DOMESTIC APPLIANCES;DUVET;EXCLUDE Adot
SMALL DOMESTIC APPLIANCES;SLIPPERS;EXCLUDE Adot
SMALL DOMESTIC APPLIANCES;SPONGE;EXCLUDE Adot
SMALL DOMESTIC APPLIANCES;UNDERWEAR MAN;EXCLUDE Adot
SPORT CLOTHING;CLASSICS;EXCLUDE Adot
SPORT CLOTHING;HAT;EXCLUDE Adot
SPORT CLOTHING;OUTDOOR;Sports
SPORT CLOTHING;UNDERWEAR MAN;EXCLUDE Adot
SPORT EQUIPMENT;ALCOHOL;EXCLUDE Adot
SPORT EQUIPMENT;CLASSICS;EXCLUDE Adot
SPORT EQUIPMENT;COOKING;EXCLUDE Adot
SPORT EQUIPMENT;OUTDOOR;Sports
SPORT EQUIPMENT;SLIPPERS;EXCLUDE Adot
SPORT EQUIPMENT;SPONGE;EXCLUDE Adot
SPORT EQUIPMENT;UNDERWEAR MAN;EXCLUDE Adot
SPORTS PRACTICE;NAUTICAL SPORTS;Sports
SPORTSWEAR;CLASSICS;EXCLUDE Adot
SPORTSWEAR;OUTDOOR;Sports
SPORTSWEAR;UNDERWEAR MAN;EXCLUDE Adot
STATIONERY;COOKING;EXCLUDE Adot
STATIONERY;SPONGE;EXCLUDE Adot
SURF/SKI;ALCOHOL;EXCLUDE Adot
SURF/SKI;CLASSICS;EXCLUDE Adot
SURF/SKI;OUTDOOR;EXCLUDE Adot
SURF/SKI;SPONGE;EXCLUDE Adot
SURF/SKI;UNDERWEAR MAN;EXCLUDE Adot
TABLEWARE;ALCOHOL;EXCLUDE Adot
TABLEWARE;CLASSICS;EXCLUDE Adot
TABLEWARE;COOKING;Home
TABLEWARE;DUVET;EXCLUDE Adot
TABLEWARE;SLIPPERS;EXCLUDE Adot
TABLEWARE;SPONGE;EXCLUDE Adot
TABLEWARE;UNDERWEAR MAN;EXCLUDE Adot
TICKETING - SPORTS;NAUTICAL SPORTS;Entertainment
TOYS;ALCOHOL;EXCLUDE Adot
TOYS;CLASSICS;EXCLUDE Adot
TOYS;COOKING;EXCLUDE Adot
TOYS;SLIPPERS;Kids
TOYS;SPONGE;EXCLUDE Adot
TOYS;UNDERWEAR MAN;EXCLUDE Adot
UNDERWEAR;ALCOHOL;EXCLUDE Adot
UNDERWEAR;CLASSICS;Fashion
UNDERWEAR;COOKING;EXCLUDE Adot
UNDERWEAR;HAT;Fashion
UNDERWEAR;OUTDOOR;Fashion
UNDERWEAR;SLIPPERS;Fashion
UNDERWEAR;SPONGE;EXCLUDE Adot
UNDERWEAR;UNDERWEAR MAN;Fashion
UNSET;ALCOHOL;EXCLUDE Adot
UNSET;COOKING;EXCLUDE Adot
UNSET;SPONGE;EXCLUDE Adot
UNSET;UNDERWEAR MAN;EXCLUDE Adot
VARIOUS;ALCOHOL;EXCLUDE Adot
VARIOUS;CLASSICS;EXCLUDE Adot
VARIOUS;COOKING;EXCLUDE Adot
VARIOUS;NAUTICAL SPORTS;EXCLUDE Adot
VARIOUS;SLIPPERS;EXCLUDE Adot
VARIOUS;SPONGE;EXCLUDE Adot
VARIOUS;UNDERWEAR MAN;EXCLUDE Adot
VEHICLE;CLASSICS;EXCLUDE Adot
WATCHES;ALCOHOL;EXCLUDE Adot
WATCHES;CLASSICS;Fashion
WATCHES;COOKING;EXCLUDE Adot
WATCHES;HAT;Fashion
WATCHES;OUTDOOR;Fashion
WATCHES;SLIPPERS;Fashion
WATCHES;SPONGE;EXCLUDE Adot
WATCHES;UNDERWEAR MAN;Fashion
